"checking_acc_numeric","time_credit_acc","credit_history_numeric","purpose_numeric","amount","savings_acc_numeric","p_employment_time_numeric","installment_rate","marita_status_sex_numeric","other_debtors_numeric","p_residence_time","property_numeric","age","other_installment_numeric","housing_numeric","number_of_credits","job_numeric","dependants","has_phone_numeric","foreign_worker_numeric","is_good"
1,6,3,1,1169,0,5,4,1,1,4,4,67,0,1,2,3,1,1,1,1
2,48,4,1,5951,1,3,2,2,1,2,4,22,0,1,1,3,1,0,1,2
4,12,3,6,2096,1,4,2,1,1,3,4,49,0,1,1,2,2,0,1,1
1,42,4,3,7882,1,4,2,1,2,4,3,45,0,0,1,3,2,0,1,1
1,24,2,2,4870,1,3,3,1,1,4,0,53,0,0,2,3,2,0,1,2
4,36,4,6,9055,0,3,2,1,1,4,0,35,0,0,1,2,2,1,1,1
4,24,4,3,2835,3,5,3,1,1,4,3,53,0,1,1,3,1,0,1,1
2,36,4,4,6948,1,3,2,1,1,2,2,35,0,2,1,4,1,1,1,1
4,12,4,1,3059,4,4,2,4,1,4,4,61,0,1,1,2,1,0,1,1
2,30,3,2,5234,1,1,4,3,1,2,2,28,0,1,2,4,1,0,1,2
2,12,4,2,1295,1,2,3,2,1,1,2,25,0,2,1,3,1,0,1,2
1,48,4,5,4308,1,2,3,2,1,4,3,24,0,2,1,3,1,0,1,2
2,12,4,1,1567,1,3,1,2,1,1,2,22,0,1,1,3,1,1,1,1
1,24,3,2,1199,1,5,4,1,1,4,2,60,0,1,2,2,1,0,1,2
1,15,4,2,1403,1,3,2,2,1,4,2,28,0,2,1,3,1,0,1,1
1,24,4,1,1282,2,3,4,2,1,2,2,32,0,1,1,2,1,0,1,2
4,24,3,1,2424,0,5,4,1,1,4,3,53,0,1,2,3,1,0,1,1
1,30,0,5,8072,0,2,2,1,1,3,2,25,2,1,3,3,1,0,1,1
2,24,4,4,12579,1,5,4,2,1,2,0,44,0,0,1,4,1,1,1,2
4,24,4,1,3430,3,5,3,1,1,2,2,31,0,1,1,3,2,1,1,1
4,9,3,2,2134,1,3,4,1,1,4,2,48,0,1,3,3,1,1,1,1
1,6,4,1,2647,3,3,2,1,1,3,4,44,0,2,1,3,2,0,1,1
1,10,3,2,2241,1,2,1,1,1,3,4,48,0,2,2,2,2,0,0,1
2,12,3,4,1804,2,2,3,1,1,4,3,44,0,1,1,3,1,0,1,1
4,10,3,3,2069,0,3,2,3,1,1,2,26,0,1,2,3,1,0,0,1
1,6,4,3,1374,1,3,1,1,1,2,4,36,2,1,1,2,1,1,1,1
4,6,0,1,426,1,5,4,3,1,4,2,39,0,1,1,2,1,0,1,1
3,12,1,1,409,4,3,3,2,1,3,4,42,0,2,2,3,1,0,1,1
2,7,4,1,2415,1,3,3,1,2,2,4,34,0,1,1,3,1,0,1,1
1,60,2,5,6836,1,5,3,1,1,4,0,63,0,1,2,3,1,1,1,2
2,18,4,5,1913,4,2,3,3,1,3,4,36,2,1,1,3,1,1,1,1
1,24,4,3,4020,1,3,2,1,1,2,2,27,1,1,1,3,1,0,1,1
2,18,4,2,5866,2,3,2,1,1,2,2,30,0,1,2,3,1,1,1,1
4,12,3,5,1264,0,5,4,1,1,4,0,57,0,2,1,2,1,0,1,1
3,12,4,3,1474,1,2,4,2,1,1,3,33,2,1,1,4,1,1,1,1
2,45,3,1,4746,1,2,4,1,1,2,3,25,0,1,2,2,1,0,1,2
4,48,3,6,6110,1,3,1,1,1,3,0,31,2,0,1,3,1,1,1,1
3,18,4,1,2100,1,3,4,1,3,2,4,37,1,1,1,3,1,0,1,2
3,10,4,10,1225,1,3,2,1,1,2,2,37,0,1,1,3,1,1,1,1
2,9,4,1,458,1,3,4,1,1,3,4,24,0,1,1,3,1,0,1,1
4,30,4,1,2333,3,5,4,1,1,2,2,30,2,1,1,4,1,0,1,1
2,12,4,1,1158,3,3,3,4,1,1,2,26,0,1,1,3,1,1,1,1
2,18,2,7,6204,1,3,2,1,1,4,4,44,0,1,1,2,2,1,1,1
1,30,3,4,6187,2,4,1,3,1,4,2,24,0,2,2,3,1,0,1,1
1,48,3,4,6143,1,5,4,2,1,4,0,58,1,0,2,2,1,0,1,2
4,11,3,2,1393,1,2,4,2,1,4,2,35,0,1,2,4,1,0,1,1
4,36,4,1,2299,3,5,4,1,1,4,2,39,0,1,1,3,1,0,1,1
1,6,4,4,1352,3,1,1,2,1,2,3,23,0,2,1,1,1,1,1,1
4,11,3,2,7228,1,3,1,1,1,4,3,39,0,1,2,2,1,0,1,1
4,12,4,1,2073,2,3,4,2,3,2,4,28,0,1,1,3,1,0,1,1
2,24,2,3,2333,0,2,4,1,1,2,3,29,2,1,1,2,1,0,1,1
2,27,2,4,5965,1,5,1,1,1,2,2,30,0,1,2,4,1,1,1,1
4,12,4,1,1262,1,3,3,1,1,2,2,25,0,1,1,3,1,0,1,1
4,18,4,4,3378,0,3,2,1,1,1,3,31,0,1,1,3,1,1,1,1
2,36,2,2,2225,1,5,4,1,1,4,0,57,2,0,2,3,1,1,1,2
4,6,1,2,783,0,3,1,1,2,2,4,26,1,1,1,2,2,0,1,1
2,12,4,1,6468,0,1,2,1,1,1,0,52,0,1,1,4,1,1,1,2
4,36,3,1,9566,1,3,2,2,1,2,2,31,1,1,2,3,1,0,1,1
3,18,4,2,1961,1,5,3,2,1,2,2,23,0,1,1,4,1,0,1,1
1,36,3,3,6229,1,2,4,2,3,4,0,23,0,2,2,2,1,1,1,2
2,9,4,5,1391,1,3,2,3,1,1,4,27,2,1,1,3,1,1,1,1
2,15,3,1,1537,0,5,4,1,2,4,4,50,0,1,2,3,1,1,1,1
2,36,0,5,1953,1,5,4,1,1,4,0,61,0,0,1,4,1,1,1,2
2,48,0,5,14421,1,3,2,1,1,2,2,25,0,1,1,3,1,1,1,2
4,24,4,1,3181,1,2,4,2,1,4,3,26,0,1,1,3,1,1,1,1
4,27,4,7,5190,0,5,4,1,1,4,3,48,0,1,4,3,2,1,1,1
4,12,4,1,2171,1,2,2,2,1,2,2,29,2,1,1,3,1,0,1,1
2,12,4,2,1007,4,3,4,3,1,1,4,22,0,1,1,3,1,0,1,1
4,36,4,6,1819,1,3,4,1,1,4,0,37,1,0,1,3,1,1,1,2
4,36,4,1,2394,0,3,4,2,1,4,2,25,0,1,1,3,1,0,1,1
4,36,4,4,8133,1,3,1,2,1,2,3,30,2,1,1,3,1,0,1,1
4,7,3,1,730,0,5,4,1,1,2,3,46,0,2,2,2,1,1,1,1
1,8,3,11,1164,1,5,3,1,1,4,0,51,2,0,2,4,2,1,1,1
2,42,3,5,5954,1,4,2,2,1,1,4,41,2,1,2,2,1,0,1,1
1,36,4,6,1977,0,5,4,1,1,4,0,40,0,1,1,4,1,1,1,2
1,12,3,4,1526,1,5,4,1,1,4,0,66,0,0,2,4,1,0,1,1
1,42,4,1,3965,1,2,4,1,1,3,2,34,0,1,1,3,1,0,1,2
2,11,2,1,4771,1,4,2,1,1,4,3,51,0,1,1,3,1,0,1,1
4,54,0,4,9436,0,3,2,1,1,2,3,39,0,1,1,2,2,0,1,1
2,30,4,3,3832,1,2,2,3,1,1,3,22,0,1,1,3,1,0,1,1
4,24,4,1,5943,0,2,1,2,1,1,2,44,0,1,2,3,1,1,1,2
4,15,4,1,1213,3,5,4,1,1,3,3,47,1,1,1,3,1,1,1,1
4,18,4,5,1568,2,3,3,2,1,4,3,24,0,2,1,2,1,0,1,1
1,24,4,11,1755,1,5,4,2,2,4,4,58,0,1,1,2,1,1,1,1
1,10,4,1,2315,1,5,3,1,1,4,4,52,0,1,1,2,1,0,1,1
4,12,3,5,1412,1,3,4,2,2,2,4,29,0,1,2,4,1,1,1,1
2,18,3,3,1295,1,2,4,2,1,1,3,27,0,1,2,3,1,0,1,1
2,36,4,6,12612,2,3,1,1,1,4,0,47,0,0,1,3,2,1,1,2
1,18,4,2,2249,2,4,4,1,1,3,2,30,0,1,1,4,2,1,1,1
1,12,0,7,1108,1,4,4,1,1,3,4,28,0,1,2,3,1,0,1,2
4,12,3,1,618,1,5,4,1,1,4,4,56,0,1,1,3,1,0,1,1
1,12,3,4,1409,1,5,4,1,1,3,4,54,0,1,1,3,1,0,1,1
4,12,3,1,797,0,5,4,2,1,3,3,33,2,1,1,2,2,0,1,2
3,24,3,3,3617,0,5,4,1,3,4,0,20,0,2,2,3,1,0,1,1
2,12,4,2,1318,4,5,4,1,1,4,4,54,0,1,1,3,1,1,1,1
2,54,0,5,15945,1,2,3,1,1,4,0,58,0,2,1,3,1,1,1,2
4,12,3,6,2012,0,4,4,2,1,2,2,61,0,1,1,3,1,0,1,1
2,18,4,5,2622,2,3,4,1,1,4,2,34,0,1,1,3,1,0,1,1
2,36,3,1,2337,1,5,4,1,1,4,4,36,0,1,1,3,1,0,1,1
2,20,2,4,7057,0,4,3,1,1,4,3,36,2,2,2,4,2,1,1,1
4,24,4,2,1469,2,5,4,3,1,4,4,41,0,2,1,2,1,0,1,1
2,36,4,1,2323,1,4,4,1,1,4,2,24,0,2,1,3,1,0,1,1
4,6,2,1,932,1,3,3,2,1,2,4,24,0,1,1,3,1,0,1,1
2,9,3,3,1919,1,4,4,1,1,3,2,35,0,2,1,3,1,1,1,1
4,12,4,4,2445,0,2,2,3,1,4,2,26,0,2,1,3,1,1,1,1
2,24,3,11,11938,1,3,2,1,3,3,2,39,0,1,2,4,2,1,1,2
4,18,1,2,6458,1,5,2,1,1,4,0,39,2,1,2,4,2,1,1,2
2,12,4,2,6078,1,4,2,1,1,2,2,32,0,1,1,3,1,0,1,1
1,24,4,3,7721,0,2,1,2,1,2,3,30,0,1,1,3,1,1,0,1
2,14,4,5,1410,3,5,1,3,1,2,4,35,0,1,1,3,1,1,1,1
2,6,2,5,1449,2,5,1,4,1,2,2,31,2,1,2,3,2,0,1,1
3,15,4,6,392,1,2,4,2,1,4,3,23,0,2,1,3,1,1,1,1
2,18,4,2,6260,1,4,3,1,1,3,4,28,0,2,1,2,1,0,1,1
4,36,3,2,7855,1,3,4,2,1,2,4,25,1,1,2,3,1,1,1,2
1,12,4,1,1680,3,5,3,3,1,1,4,35,0,1,1,3,1,0,1,1
4,48,3,1,3578,0,5,4,1,1,1,4,47,0,1,1,3,1,1,1,1
1,42,4,1,7174,0,4,4,2,1,3,2,30,0,1,1,4,1,1,1,2
1,10,3,3,2132,0,2,2,2,3,3,4,27,0,2,2,3,1,0,0,1
1,33,3,3,4281,3,3,1,2,1,4,2,23,0,1,2,3,1,0,1,2
2,12,3,2,2366,3,4,3,4,1,3,2,36,0,1,1,4,1,1,1,1
1,21,4,1,1835,1,3,3,2,1,2,4,25,0,1,2,3,1,1,1,2
4,24,3,4,3868,1,5,4,2,1,2,2,41,0,2,2,4,1,1,1,1
4,12,4,3,1768,1,3,3,1,1,2,4,24,0,2,1,2,1,0,1,1
3,10,3,2,781,1,5,4,1,1,4,0,63,0,0,2,3,1,1,1,1
2,18,4,3,1924,0,2,4,2,1,3,4,27,0,2,1,3,1,0,1,2
1,12,3,2,2121,1,3,4,1,1,2,3,30,0,1,2,3,1,0,1,1
1,12,4,1,701,1,3,4,3,1,2,4,40,0,1,1,2,1,0,1,1
2,12,4,7,639,1,3,4,1,1,2,2,30,0,1,1,3,1,0,1,2
2,12,3,4,1860,1,1,4,1,1,2,2,34,0,1,2,4,1,1,1,1
1,12,3,2,3499,1,3,3,2,3,2,4,29,0,1,2,3,1,0,1,2
2,48,4,2,8487,0,4,1,2,1,2,2,24,0,1,1,3,1,0,1,1
1,36,2,6,6887,1,3,4,1,1,3,3,29,1,1,1,3,1,1,1,2
4,15,4,3,2708,1,2,2,1,1,3,3,27,2,1,2,2,1,0,1,1
4,18,4,3,1984,1,3,4,1,1,4,0,47,2,0,2,3,1,0,1,1
4,60,4,1,10144,2,4,2,2,1,4,4,21,0,1,1,3,1,1,1,1
4,12,3,1,1240,0,5,4,2,1,2,4,38,0,1,2,3,1,1,1,1
4,27,2,4,8613,4,3,2,1,1,2,2,27,0,1,2,3,1,0,1,1
2,12,4,1,766,3,3,4,1,1,3,4,66,0,1,1,2,1,0,1,2
2,15,3,1,2728,0,4,4,1,2,2,4,35,2,1,3,3,1,1,1,1
3,12,4,1,1881,1,3,2,2,1,2,2,44,0,2,1,2,1,1,1,1
3,6,4,2,709,4,2,2,3,1,2,4,27,0,1,1,1,1,0,0,1
2,36,4,1,4795,1,2,4,2,1,1,0,30,0,1,1,4,1,1,1,1
1,27,4,1,3416,1,3,3,1,1,2,2,27,0,1,1,4,1,0,1,1
1,18,4,3,2462,1,3,2,1,1,2,2,22,0,1,1,3,1,0,1,2
4,21,3,3,2288,1,2,4,2,1,4,3,23,0,1,1,3,1,1,1,1
2,48,1,5,3566,2,4,4,1,1,2,2,30,0,1,1,3,1,0,1,1
1,6,3,2,860,1,5,1,2,1,4,0,39,0,1,2,3,1,1,1,1
4,12,3,2,682,2,4,4,2,1,3,2,51,0,1,2,3,1,1,1,1
1,36,3,3,5371,1,3,3,1,2,2,3,28,0,1,2,3,1,0,1,1
4,18,3,1,1582,4,5,4,1,1,4,2,46,0,1,2,3,1,0,1,1
4,6,4,1,1346,2,5,2,1,1,4,0,42,2,0,1,3,2,1,1,1
4,10,4,1,1924,1,3,1,1,1,4,3,38,0,1,1,3,1,1,0,1
3,36,4,1,5848,1,3,4,1,1,1,2,24,0,1,1,3,1,0,1,1
2,24,3,4,7758,4,5,2,2,1,4,0,29,0,2,1,3,1,0,1,1
2,24,2,5,6967,2,4,4,1,1,4,2,36,0,2,1,4,1,1,1,1
1,12,4,3,1282,1,3,2,2,1,4,2,20,0,2,1,3,1,0,1,2
1,9,3,7,1288,2,5,3,1,2,4,4,48,0,1,2,3,2,0,0,1
1,12,1,9,339,1,5,4,3,1,1,2,45,2,1,1,2,1,0,1,1
2,24,4,2,3512,2,4,2,1,1,3,2,38,2,1,2,3,1,1,1,1
4,6,3,1,1898,0,3,1,1,1,2,4,34,0,1,2,2,2,0,1,1
4,24,3,1,2872,2,5,3,1,1,4,4,36,0,1,1,3,2,1,1,1
4,18,3,2,1055,1,2,4,2,1,1,3,30,0,1,2,3,1,0,1,1
4,15,4,10,1262,3,4,4,1,1,3,3,36,0,1,2,3,1,1,1,1
2,10,4,2,7308,1,1,2,1,1,4,0,70,2,0,1,4,1,1,1,1
4,36,4,2,909,3,5,4,1,1,4,3,36,0,1,1,3,1,0,1,1
4,6,4,3,2978,3,3,1,1,1,2,2,32,0,1,1,3,1,1,1,1
1,18,4,3,1131,1,1,4,2,1,2,2,33,0,1,1,3,1,0,1,2
2,11,4,3,1577,4,2,4,2,1,1,4,20,0,1,1,3,1,0,1,1
4,24,4,3,3972,1,4,2,2,1,4,3,25,0,2,1,3,1,1,1,1
2,24,3,5,1935,1,5,4,4,1,4,4,31,0,1,2,3,1,1,1,2
1,15,0,2,950,1,5,4,1,1,3,2,33,0,2,2,3,2,0,1,2
4,12,4,3,763,1,3,4,2,1,1,4,26,0,1,1,3,1,1,1,1
2,24,2,3,2064,1,1,3,2,1,2,3,34,0,1,1,4,1,1,1,2
2,8,4,1,1414,1,3,4,1,2,2,4,33,0,1,1,3,1,0,0,1
1,21,2,6,3414,1,2,2,1,1,1,3,26,0,1,2,3,1,0,1,2
4,30,1,4,7485,0,1,4,2,1,1,4,53,2,1,1,4,1,1,1,2
1,12,4,3,2577,1,3,2,4,1,1,2,42,0,1,1,3,1,0,1,1
1,6,3,1,338,3,5,4,1,1,4,2,52,0,1,2,3,1,0,1,1
4,12,4,1,1963,1,4,4,1,1,2,2,31,0,2,2,4,2,1,1,1
1,21,3,2,571,1,5,4,1,1,4,4,65,0,1,2,3,1,0,1,1
4,36,2,5,9572,1,2,1,4,1,1,2,28,0,1,2,3,1,0,1,2
2,36,2,5,4455,1,3,2,4,1,2,4,30,1,1,2,4,1,1,1,2
1,21,1,2,1647,0,3,4,1,1,2,3,40,0,1,2,2,2,0,1,2
4,24,3,3,3777,4,3,4,1,1,4,4,50,0,1,1,3,1,1,1,1
2,18,3,2,884,1,5,4,1,1,4,2,36,2,1,1,3,2,1,1,2
4,15,3,1,1360,1,3,4,1,1,2,3,31,0,1,2,3,1,0,1,1
2,9,1,4,5129,1,5,2,2,1,4,0,74,2,0,1,4,2,1,1,2
2,16,3,2,1175,1,1,2,1,1,3,2,68,0,0,3,1,1,1,1,1
1,12,4,1,674,2,4,4,3,1,1,3,20,0,1,1,3,1,0,1,2
2,18,0,3,3244,1,3,1,2,1,4,2,33,2,1,2,3,1,1,1,1
4,24,4,5,4591,4,3,2,1,1,3,3,54,0,1,3,4,1,1,1,2
2,48,0,5,3844,2,4,4,1,1,4,0,34,0,0,1,2,2,0,1,2
2,27,4,5,3915,1,3,4,1,1,2,2,36,0,1,1,3,2,1,1,2
4,6,4,1,2108,1,4,2,3,1,2,4,29,0,2,1,3,1,0,1,1
2,45,4,1,3031,2,3,4,1,2,4,3,21,0,2,1,3,1,0,1,2
2,9,3,6,1501,1,5,2,2,1,3,2,34,0,1,2,4,1,1,1,2
4,6,3,1,1382,1,3,1,2,1,1,2,28,0,1,2,3,1,1,1,1
2,12,4,3,951,2,2,4,2,1,4,2,27,2,2,4,3,1,0,1,2
2,24,4,4,2760,0,5,4,1,1,4,0,36,2,0,1,3,1,1,1,1
2,18,2,3,4297,1,5,4,4,1,3,0,40,0,1,1,4,1,1,1,2
4,9,3,6,936,3,5,4,1,1,2,2,52,0,1,2,3,1,1,1,1
1,12,4,2,1168,1,3,4,3,1,3,4,27,0,1,1,2,1,0,1,1
4,27,2,5,5117,1,4,3,1,1,4,2,26,0,1,2,3,1,0,1,1
1,12,4,9,902,1,4,4,3,1,4,3,21,0,2,1,3,1,0,1,2
4,12,3,2,1495,1,5,4,1,1,1,4,38,0,1,2,2,2,0,1,1
1,30,3,4,10623,1,5,3,1,1,4,0,38,0,0,3,4,2,1,1,1
4,12,3,3,1935,1,5,4,1,1,4,4,43,0,1,3,3,1,1,1,1
2,12,3,10,1424,1,4,4,1,1,3,3,26,0,1,1,3,1,0,1,1
1,24,4,5,6568,1,3,2,3,1,2,2,21,1,1,1,2,1,0,1,1
4,12,4,4,1413,4,4,3,1,1,2,3,55,0,1,1,3,1,0,0,1
4,9,3,1,3074,0,3,1,1,1,2,4,33,0,1,2,3,2,0,1,1
4,36,4,1,3835,0,5,2,2,1,4,4,45,0,1,1,2,1,1,1,1
1,27,0,5,5293,1,1,2,1,1,4,3,50,1,1,2,3,1,1,1,2
3,30,2,5,1908,1,5,4,1,1,4,4,66,0,1,1,4,1,1,1,2
4,36,3,1,3342,0,5,4,1,1,2,2,51,0,1,1,3,1,1,1,1
2,6,3,9,932,0,4,1,2,1,3,3,39,0,1,2,2,1,0,1,1
1,18,0,5,3104,1,4,3,1,1,1,3,31,2,1,1,3,1,1,1,1
3,36,4,1,3913,1,3,2,1,1,2,4,23,0,1,1,3,1,1,1,1
1,24,4,3,3021,1,3,2,4,1,2,4,24,0,2,1,2,1,0,1,1
4,10,4,2,1364,1,3,2,2,1,4,2,64,0,1,1,3,1,1,1,1
2,12,4,1,625,1,2,4,3,2,1,4,26,2,1,1,2,1,0,1,1
1,12,4,6,1200,0,3,4,2,1,4,3,23,2,2,1,3,1,1,1,1
4,12,4,1,707,1,3,4,1,1,2,4,30,2,1,2,3,1,0,1,1
4,24,2,5,2978,0,3,4,1,1,4,4,32,0,1,2,3,2,1,1,1
4,15,4,4,4657,1,3,3,1,1,2,2,30,0,1,1,3,1,1,1,1
4,36,0,7,2613,1,3,4,1,1,2,2,27,0,1,2,3,1,0,1,1
2,48,4,1,10961,4,4,1,1,3,2,0,27,2,1,2,3,1,1,1,2
1,12,4,3,7865,1,5,4,1,1,4,0,53,0,0,1,4,1,1,1,2
4,9,4,1,1478,1,4,4,1,1,2,2,22,0,1,1,3,1,0,1,2
1,24,4,3,3149,1,2,4,1,1,1,0,22,2,0,1,3,1,0,1,1
3,36,4,1,4210,1,3,4,1,1,2,2,26,0,1,1,3,1,0,1,2
4,9,4,2,2507,3,5,2,1,1,4,0,51,0,0,1,2,1,0,1,1
4,12,4,1,2141,2,4,3,1,1,1,0,35,0,1,1,3,1,0,1,1
2,18,4,1,866,1,3,4,3,2,2,4,25,0,1,1,2,1,0,1,1
4,4,3,1,1544,1,4,2,1,1,1,4,42,0,1,3,2,2,0,1,1
1,24,4,1,1823,1,1,4,1,1,2,2,30,1,1,1,4,2,0,1,2
2,6,4,2,14555,0,1,1,1,1,2,3,23,0,1,1,1,1,1,1,2
2,21,4,5,2767,2,5,4,4,1,2,2,61,2,2,2,2,1,0,1,2
4,12,3,1,1291,1,3,4,2,1,2,3,35,0,1,2,3,1,0,1,1
1,30,4,1,2522,1,5,1,1,2,3,3,39,0,1,1,3,2,0,1,1
1,24,4,2,915,0,5,4,2,1,2,2,29,2,1,1,3,1,0,1,2
4,6,4,1,1595,1,4,3,1,1,2,3,51,0,1,1,3,2,0,1,1
1,48,0,4,4605,1,5,3,1,1,4,0,24,0,0,2,3,2,0,1,2
