"checking_acc_numeric","time_credit_acc","credit_history_numeric","purpose_numeric","amount","savings_acc_numeric","p_employment_time_numeric","installment_rate","marita_status_sex_numeric","other_debtors_numeric","p_residence_time","property_numeric","age","other_installment_numeric","housing_numeric","number_of_credits","job_numeric","dependants","has_phone_numeric","foreign_worker_numeric","is_good"
4,12,3,5,1185,1,3,3,2,1,2,4,27,0,1,2,3,1,0,1,1
4,12,1,9,3447,3,3,4,2,1,3,4,35,0,1,1,2,2,0,1,1
4,24,4,5,1258,1,4,4,1,1,1,4,25,0,1,1,3,1,1,1,1
4,12,3,1,717,1,5,4,1,1,4,4,52,0,1,3,3,1,0,1,1
4,6,0,2,1204,2,3,4,1,1,1,0,35,2,2,1,3,1,0,0,1
3,24,4,3,1925,1,3,2,1,1,2,4,26,0,1,1,3,1,0,1,1
4,18,4,1,433,1,1,3,2,3,4,4,22,0,2,1,3,1,0,1,2
1,6,3,2,666,4,4,3,2,1,4,4,39,0,1,2,2,1,1,1,1
3,12,4,3,2251,1,3,1,2,1,2,2,46,0,1,1,2,1,0,1,1
2,30,4,2,2150,1,3,4,2,2,2,0,24,2,1,1,3,1,0,1,2
4,24,2,3,4151,2,3,2,1,1,3,3,35,0,1,2,3,1,0,1,1
2,9,4,3,2030,0,4,2,1,1,1,2,24,0,1,1,3,1,1,1,1
2,60,2,1,7418,0,3,1,1,1,1,4,27,0,1,1,2,1,0,1,1
4,24,3,1,2684,1,3,4,1,1,2,4,35,0,1,2,2,1,0,1,1
1,12,1,1,2149,1,3,4,4,1,1,0,29,0,0,1,3,1,0,1,2
4,15,4,4,3812,2,2,1,2,1,4,2,23,0,1,1,3,1,1,1,1
4,11,3,1,1154,2,1,4,2,1,4,4,57,0,1,3,2,1,0,1,1
1,12,4,3,1657,1,3,2,1,1,2,4,27,0,1,1,3,1,0,1,1
1,24,4,1,1603,1,5,4,2,1,4,2,55,0,1,1,3,1,0,1,1
1,18,3,2,5302,1,5,2,1,1,4,0,36,0,0,3,4,1,1,1,1
4,12,3,6,2748,1,5,2,2,1,4,0,57,2,0,3,2,1,0,1,1
4,10,3,2,1231,1,5,3,1,1,4,4,32,0,1,2,2,2,0,0,1
2,15,4,1,802,1,5,4,1,1,3,2,37,0,1,1,3,2,0,1,2
4,36,3,5,6304,0,5,4,1,1,4,4,36,0,1,2,3,1,0,1,1
4,24,4,1,1533,1,2,4,2,1,3,2,38,1,1,1,3,1,1,1,1
1,14,4,2,8978,1,5,1,4,1,4,3,45,0,1,1,4,1,1,0,2
4,24,4,1,999,0,5,4,1,1,2,2,25,0,1,2,3,1,0,1,1
4,18,4,2,2662,0,4,4,1,1,3,3,32,0,1,1,3,1,0,0,1
4,12,3,3,1402,3,4,3,2,1,4,2,37,0,2,1,3,1,1,1,1
2,48,1,2,12169,0,1,4,1,3,4,0,36,0,0,1,4,1,1,1,1
2,48,4,1,3060,1,4,4,1,1,4,4,28,0,1,2,3,1,0,1,2
1,30,4,7,11998,1,2,1,4,1,1,0,34,0,1,1,2,1,1,1,2
4,9,4,1,2697,1,3,1,1,1,2,4,32,0,1,1,3,2,0,1,1
4,18,3,1,2404,1,3,2,2,1,2,2,26,0,1,2,3,1,0,1,1
1,12,4,3,1262,0,5,2,4,1,4,3,49,0,1,1,2,1,1,1,1
4,6,4,3,4611,1,2,1,2,1,4,3,32,0,1,1,3,1,0,1,2
4,24,4,1,1901,2,3,4,1,1,4,2,29,0,2,1,4,1,1,1,1
4,15,3,4,3368,4,5,3,1,1,4,0,23,0,2,2,3,1,1,1,1
4,12,4,3,1574,1,3,4,1,1,2,4,50,0,1,1,3,1,0,1,1
3,18,1,1,1445,0,4,4,1,1,4,2,49,2,1,1,2,1,0,1,1
4,15,3,3,1520,0,5,4,1,1,4,3,63,0,1,1,3,1,0,1,1
2,24,3,2,3878,2,2,4,4,1,2,2,37,0,1,1,3,1,1,1,1
1,47,4,2,10722,1,2,1,2,1,1,4,35,0,1,1,2,1,1,1,1
1,48,4,4,4788,1,4,4,1,1,3,3,26,0,1,1,3,2,0,1,1
2,48,2,11,7582,2,1,2,1,1,4,0,31,0,0,1,4,1,1,1,1
2,12,4,1,1092,1,3,4,2,2,4,4,49,0,1,2,3,1,1,1,1
1,24,2,1,1024,1,2,4,3,1,4,4,48,1,1,1,3,1,0,1,2
4,12,4,5,1076,1,3,2,3,1,2,4,26,0,1,1,3,1,1,0,1
2,36,4,4,9398,1,2,1,3,1,4,2,28,0,2,1,4,1,1,1,2
1,24,3,4,6419,1,5,2,2,1,4,0,44,0,0,2,4,2,1,1,1
3,42,3,4,4796,1,5,4,1,1,4,0,56,0,0,1,3,1,0,1,1
4,48,3,5,7629,0,5,4,4,1,2,2,46,2,1,2,4,2,0,1,1
2,48,4,3,9960,1,2,1,2,1,2,2,26,0,1,1,3,1,1,1,2
4,12,4,4,4675,0,2,1,2,1,4,2,20,0,2,1,3,1,0,1,1
4,10,4,2,1287,0,5,4,1,3,2,3,45,0,1,1,2,1,0,0,1
4,18,4,3,2515,1,3,3,1,1,4,4,43,0,1,1,3,1,1,1,1
2,21,3,3,2745,4,4,3,1,1,2,2,32,0,1,2,3,1,1,1,1
4,6,4,2,672,1,1,1,2,1,4,4,54,0,1,1,1,1,1,1,1
2,36,0,1,3804,1,3,4,2,1,1,2,42,0,1,1,3,1,1,1,2
3,24,3,2,1344,0,4,4,1,1,2,4,37,2,1,2,2,2,0,1,2
1,10,3,2,1038,1,4,4,1,3,3,3,49,0,1,2,3,1,1,1,1
4,48,3,2,10127,3,3,2,1,1,2,0,44,2,0,1,3,1,0,1,2
4,6,4,3,1543,4,3,4,4,1,2,4,33,0,1,1,3,1,0,1,1
4,30,4,4,4811,0,4,2,2,1,4,3,24,1,2,1,2,1,0,1,1
1,12,4,1,727,2,2,4,3,1,3,0,33,0,1,1,2,1,1,1,2
2,8,4,3,1237,1,3,3,2,1,4,4,24,0,1,1,3,1,0,1,2
2,9,4,2,276,1,3,4,3,1,4,4,22,0,2,1,2,1,0,1,1
2,48,4,11,5381,0,1,3,1,1,4,0,40,2,0,1,1,1,1,1,1
4,24,4,3,5511,2,3,4,1,1,1,2,25,1,1,1,3,1,0,1,1
3,24,4,3,3749,1,2,2,2,1,4,2,26,0,1,1,3,1,0,1,1
2,12,4,2,685,1,4,2,3,1,3,2,25,2,1,1,2,1,0,1,2
3,4,4,2,1494,0,2,1,1,1,2,4,29,0,1,1,2,2,0,0,1
1,36,1,3,2746,1,5,4,1,1,4,2,31,2,1,1,3,1,0,1,2
1,12,4,3,708,1,3,2,1,2,3,3,38,0,1,1,2,2,0,1,1
2,24,4,3,4351,0,3,1,2,1,4,3,48,0,1,1,2,1,1,1,1
4,12,3,6,701,1,3,4,1,1,2,2,32,0,1,2,3,1,0,1,1
1,15,2,3,3643,1,5,1,2,1,4,3,27,0,1,2,2,1,0,1,1
2,30,3,2,4249,1,1,4,3,1,2,2,28,0,1,2,4,1,0,1,2
1,24,4,1,1938,1,2,4,4,1,3,3,32,0,1,1,3,1,0,1,2
1,24,4,4,2910,1,4,2,1,1,1,0,34,0,0,1,4,1,1,1,1
1,18,4,3,2659,4,3,4,1,1,2,2,28,0,1,1,3,1,0,1,1
4,18,3,2,1028,1,3,4,2,1,3,4,36,0,1,2,3,1,0,1,1
1,8,3,2,3398,1,4,1,1,1,4,4,39,0,1,2,2,1,0,0,1
4,12,3,3,5801,0,5,2,1,1,4,3,49,0,2,1,3,1,1,1,1
4,24,4,2,1525,4,4,4,2,1,3,2,34,0,1,1,3,2,1,1,1
3,36,4,1,4473,1,5,4,1,1,2,2,31,0,1,1,3,1,0,1,1
2,6,4,1,1068,1,5,4,1,1,4,2,28,0,1,1,3,2,0,1,1
1,24,3,4,6615,1,1,2,1,1,4,0,75,0,0,2,4,1,1,1,1
4,18,3,6,1864,2,3,4,2,1,2,4,30,0,1,2,3,1,0,1,2
2,60,4,2,7408,2,2,4,2,1,2,3,24,0,1,1,4,1,0,1,2
4,48,3,4,11590,2,3,2,2,1,4,2,24,2,2,2,2,1,0,1,2
1,24,0,3,4110,1,5,3,1,1,4,0,23,2,2,2,3,2,0,1,2
1,6,3,3,3384,1,3,1,4,1,4,4,44,0,2,1,4,1,1,1,2
2,13,4,1,2101,1,2,2,2,2,4,3,23,0,1,1,2,1,0,1,1
1,15,4,10,1275,0,3,4,2,1,2,2,24,0,2,1,3,1,0,1,2
1,24,4,3,4169,1,3,4,1,1,4,3,28,0,1,1,3,1,0,1,1
2,10,4,3,1521,1,3,4,4,1,2,2,31,0,1,1,2,1,0,1,1
2,24,3,6,5743,1,2,2,2,1,4,0,24,0,0,2,3,1,1,1,1
1,21,4,3,3599,1,4,1,2,1,4,2,26,0,2,1,2,1,0,1,1
2,18,4,1,3213,3,2,1,3,1,3,4,25,0,2,1,3,1,0,1,1
2,18,4,5,4439,1,5,1,1,3,1,4,33,2,1,1,4,1,1,1,1
3,10,4,2,3949,1,2,1,1,2,1,3,37,0,1,1,2,2,0,1,1
4,15,3,1,1459,1,3,4,2,1,2,2,43,0,1,1,2,1,0,1,1
2,13,3,1,882,1,2,4,1,2,4,4,23,0,1,2,3,1,0,1,1
2,24,4,1,3758,3,1,1,2,1,4,0,23,0,2,1,1,1,0,1,1
4,6,2,5,1743,2,3,1,1,1,2,4,34,0,1,2,2,1,0,1,1
2,9,3,6,1136,4,5,4,1,1,3,0,32,0,0,2,3,2,0,1,2
4,9,4,10,1236,1,2,1,2,1,4,4,23,0,2,1,3,1,1,1,1
2,9,4,3,959,1,3,1,2,1,2,2,29,0,1,1,3,1,0,0,2
4,18,3,4,3229,0,1,2,1,1,4,0,38,0,1,1,4,1,1,1,1
1,12,0,1,6199,1,3,4,1,1,2,3,28,0,2,2,3,1,1,1,2
4,10,4,6,727,3,5,4,1,1,4,0,46,0,0,1,3,1,1,1,1
2,24,4,2,1246,1,2,4,1,1,2,4,23,1,1,1,2,1,0,1,2
4,12,3,1,2331,0,5,1,1,3,4,4,49,0,1,1,3,1,1,1,1
4,36,2,1,4463,1,3,4,1,1,2,2,26,0,1,2,4,1,1,1,2
4,12,4,1,776,1,3,4,3,1,2,4,28,0,1,1,3,1,0,1,1
1,30,4,3,2406,1,4,4,2,1,4,4,23,0,2,1,3,1,0,1,2
2,18,4,6,1239,0,3,4,1,1,4,0,61,0,0,1,3,1,0,1,1
3,12,4,1,3399,0,5,2,1,1,3,2,37,0,1,1,4,1,0,1,1
3,12,2,2,2247,1,3,2,2,1,2,2,36,1,1,2,3,1,1,1,1
4,6,4,3,1766,1,3,1,3,1,2,3,21,0,2,1,3,1,0,1,1
1,18,4,3,2473,1,1,4,1,1,1,2,25,0,1,1,1,1,0,1,2
4,12,4,5,1542,1,4,2,1,1,4,2,36,0,1,1,3,1,1,1,1
4,18,3,4,3850,1,4,3,1,1,1,2,27,0,1,2,3,1,0,1,1
1,18,4,3,3650,1,2,1,2,1,4,2,22,0,2,1,3,1,0,1,1
1,36,4,3,3446,1,5,4,1,1,2,2,42,0,1,1,3,2,0,1,2
2,18,4,3,3001,1,4,2,2,1,4,4,40,0,2,1,3,1,0,1,1
4,36,4,2,3079,0,3,4,1,1,4,4,36,0,1,1,3,1,0,1,1
4,18,3,1,6070,1,5,3,1,1,4,2,33,0,1,2,3,1,1,1,1
4,10,3,3,2146,1,2,1,2,1,3,4,23,0,2,2,3,1,0,1,1
4,60,3,2,13756,0,5,2,1,1,4,0,63,2,0,1,4,1,1,1,1
2,60,1,11,14782,2,5,3,2,1,4,0,60,2,0,2,4,1,1,1,2
1,48,1,5,7685,1,4,2,2,2,4,2,37,0,2,1,3,1,0,1,2
4,18,2,1,2320,1,1,2,3,1,3,4,34,0,1,2,3,1,0,1,1
4,7,2,1,846,0,5,3,1,1,4,0,36,0,0,1,3,1,0,1,1
2,36,4,2,14318,1,5,4,1,1,2,0,57,0,0,1,4,1,1,1,2
4,6,3,2,362,2,3,4,2,1,4,2,52,0,1,2,2,1,0,1,1
1,20,4,3,2212,0,4,4,1,1,4,2,39,0,1,1,3,1,1,1,1
2,18,4,4,12976,1,1,3,2,1,4,0,38,0,0,1,4,1,1,1,2
4,22,4,2,1283,0,4,4,2,1,4,3,25,0,2,1,3,1,0,1,1
3,12,4,2,1330,1,2,4,1,1,1,4,26,0,1,1,3,1,0,1,1
4,30,2,5,4272,2,3,2,1,1,2,3,26,0,1,2,2,1,0,1,1
4,18,3,1,2238,1,3,2,2,1,1,2,25,0,1,2,3,1,0,1,1
4,18,4,1,1126,0,2,4,2,1,2,4,21,0,2,1,3,1,1,1,1
2,18,3,3,7374,1,1,4,1,1,4,3,40,1,1,2,4,1,1,1,1
2,15,3,5,2326,3,3,2,1,1,4,2,27,2,1,1,3,1,0,1,1
4,9,4,5,1449,1,4,3,2,1,2,2,27,0,1,2,3,1,0,1,1
4,18,4,2,1820,1,3,2,3,1,2,3,30,0,1,1,4,1,1,1,1
2,12,4,3,983,4,2,1,2,1,4,4,19,0,2,1,2,1,0,1,1
1,36,4,2,3249,1,4,2,1,1,4,0,39,2,0,1,4,2,1,1,1
1,6,3,1,1957,1,4,1,2,1,4,2,31,0,1,1,3,1,0,1,1
4,9,3,3,2406,1,1,2,1,1,3,2,31,0,1,1,4,1,0,1,1
2,39,2,6,11760,2,4,2,1,1,3,0,32,0,2,1,3,1,1,1,1
1,12,4,3,2578,1,1,3,2,1,4,0,55,0,0,1,4,1,0,1,1
1,36,3,3,2348,1,3,3,3,1,2,3,46,0,1,2,3,1,1,1,1
2,12,4,2,1223,1,5,1,4,1,1,4,46,0,2,2,3,1,0,1,2
4,24,3,1,1516,4,3,4,2,1,1,4,43,0,1,2,2,1,0,1,1
4,18,4,1,1473,1,2,3,3,1,4,4,39,0,1,1,3,1,1,1,1
2,18,3,5,1887,0,3,4,3,1,4,4,28,2,1,2,3,1,0,1,1
4,24,2,5,8648,1,2,2,1,1,2,2,27,2,1,2,3,1,1,1,2
4,14,2,2,802,1,3,4,1,1,2,2,27,0,1,2,2,1,0,1,1
2,18,2,2,2899,0,5,4,1,1,4,2,43,0,1,1,3,2,0,1,1
2,24,4,1,2039,1,2,1,3,1,1,3,22,0,1,1,3,1,1,1,2
4,24,3,4,2197,0,4,4,1,1,4,2,43,0,1,2,3,2,1,1,1
1,15,4,1,1053,1,2,4,3,1,2,4,27,0,1,1,3,1,0,0,1
4,24,4,1,3235,3,5,3,4,1,2,2,26,0,1,1,4,1,1,1,1
3,12,3,2,939,3,4,4,3,1,2,4,28,0,1,3,3,1,1,1,2
2,24,4,1,1967,1,5,4,2,1,4,2,20,0,1,1,3,1,1,1,1
4,33,3,4,7253,1,4,3,1,1,2,2,35,0,1,2,4,1,1,1,1
4,12,3,5,2292,1,1,4,1,1,2,2,42,1,1,2,4,1,1,1,2
4,10,4,2,1597,3,3,3,1,1,2,0,40,0,2,1,2,2,0,0,1
1,24,4,2,1381,0,3,4,2,1,2,3,35,0,1,1,3,1,0,1,2
4,36,3,4,5842,1,5,2,1,1,2,3,35,0,1,2,3,2,1,1,1
1,12,4,2,2579,1,2,4,1,1,1,4,33,0,1,1,2,2,0,1,2
1,18,2,6,8471,0,3,1,2,1,2,2,23,0,2,2,3,1,1,1,1
4,21,4,2,2782,3,4,1,2,1,2,2,31,2,1,1,4,1,0,1,1
2,18,4,2,1042,0,3,4,2,1,2,3,33,0,1,1,3,1,0,1,2
4,15,4,2,3186,4,4,2,2,1,3,2,20,0,2,1,3,1,0,1,1
2,12,4,4,2028,0,3,4,1,1,2,2,30,0,1,1,3,1,0,1,1
2,12,3,2,958,1,4,2,1,1,3,4,47,0,1,2,2,2,0,1,1
4,21,2,3,1591,2,4,4,1,1,3,4,34,0,1,2,4,1,0,1,1
2,12,4,3,2762,0,5,1,2,1,2,3,25,2,1,1,3,1,1,1,2
2,18,4,4,2779,1,3,1,3,1,3,2,21,0,2,1,3,1,1,1,1
4,28,3,1,2743,1,5,4,1,1,2,2,29,0,1,2,3,1,0,1,1
4,18,3,1,1149,4,3,4,1,1,3,4,46,0,1,2,3,1,0,1,1
4,9,4,3,1313,1,5,1,1,1,4,2,20,0,1,1,3,1,0,1,1
1,18,3,7,1190,1,1,2,2,1,4,0,55,0,0,3,1,2,0,1,2
4,5,4,5,3448,1,4,1,1,1,4,4,74,0,1,1,2,1,0,1,1
2,24,4,11,11328,1,3,2,1,3,3,2,29,2,1,2,4,1,1,1,2
1,6,3,3,1872,1,1,4,1,1,4,0,36,0,0,3,4,1,1,1,1
4,24,3,7,2058,1,3,4,4,1,2,4,33,0,1,2,3,1,1,1,1
1,9,4,3,2136,1,3,3,1,1,2,4,25,0,1,1,3,1,0,1,1
2,12,4,1,1484,0,3,2,3,1,1,4,25,0,1,1,3,1,1,1,2
4,6,4,7,660,3,4,2,3,1,4,4,23,0,2,1,2,1,0,1,1
4,24,3,2,1287,4,5,4,2,1,4,4,37,0,1,2,3,1,1,1,1
1,42,3,7,3394,1,1,4,1,3,4,2,65,0,1,2,1,1,0,1,1
3,12,1,5,609,1,2,4,2,1,1,4,26,0,1,1,1,1,0,1,2
4,12,4,2,1884,1,5,4,1,1,4,2,39,0,1,1,4,1,1,1,1
1,12,4,3,1620,1,3,2,2,3,3,3,30,0,1,1,3,1,0,1,1
2,20,2,11,2629,1,3,2,1,1,3,2,29,2,1,2,3,1,1,1,1
4,12,4,6,719,1,5,4,1,1,4,2,41,2,1,1,2,2,0,1,2
2,48,3,3,5096,1,3,2,2,1,3,2,30,0,1,1,4,1,1,1,2
4,9,3,6,1244,0,5,4,2,1,4,3,41,0,2,2,2,1,0,1,1
1,36,4,2,1842,1,2,4,2,1,4,2,34,0,1,1,3,1,1,1,2
2,7,4,1,2576,1,3,2,1,2,2,4,35,0,1,1,3,1,0,1,1
3,12,4,3,1424,0,5,3,2,1,4,4,55,0,1,1,4,1,1,1,1
2,15,2,7,1512,4,3,3,3,1,3,3,61,1,1,2,3,1,0,1,2
4,36,3,4,11054,0,3,4,1,1,2,2,30,0,1,1,4,1,1,1,1
4,6,4,1,518,1,3,3,2,1,1,4,29,0,1,1,3,1,0,1,1
4,12,0,3,2759,1,5,2,1,1,4,3,34,0,1,2,3,1,0,1,1
4,24,4,4,2670,1,5,4,1,1,4,2,35,0,1,1,4,1,1,1,1
1,24,4,2,4817,1,4,2,1,3,3,3,31,0,1,1,3,1,1,1,2
4,24,4,4,2679,1,2,4,2,1,1,0,29,0,1,1,4,1,1,1,1
1,11,3,2,3905,1,3,2,1,1,2,4,36,0,2,2,3,2,0,1,1
1,12,4,4,3386,1,5,3,1,1,4,0,35,0,0,1,3,1,1,1,2
1,6,4,10,343,1,2,4,2,1,1,4,27,0,1,1,3,1,0,1,1
4,18,4,1,4594,1,2,3,1,1,2,2,32,0,1,1,3,1,1,1,1
1,36,4,3,3620,1,3,1,1,2,2,3,37,0,1,1,3,2,0,1,1
1,15,4,2,1721,1,2,2,1,1,3,4,36,0,1,1,3,1,0,1,1
2,12,4,3,3017,1,2,3,2,1,1,4,34,0,2,1,4,1,0,1,1
2,12,4,9,754,0,5,4,1,1,4,3,38,0,1,2,3,1,0,1,1
4,18,4,5,1950,1,4,4,1,1,1,2,34,1,1,2,3,1,1,1,1
1,24,4,4,2924,1,3,3,1,2,4,0,63,2,1,1,3,2,1,1,1
1,24,2,1,1659,1,2,4,2,1,2,2,29,0,2,1,2,1,1,1,2
4,48,2,1,7238,0,5,3,1,1,3,2,32,2,1,2,3,2,0,1,1
4,33,2,5,2764,1,3,2,2,1,2,2,26,0,1,2,3,1,1,1,1
4,24,2,4,4679,1,4,3,1,1,3,2,35,0,1,2,2,1,1,1,1
2,24,4,1,3092,2,2,3,3,1,2,2,22,0,2,1,3,1,1,1,2
1,6,4,6,448,1,2,4,2,1,4,3,23,0,1,1,3,1,0,1,2
1,9,4,2,654,1,3,4,1,1,3,2,28,0,1,1,2,1,0,1,2
4,6,4,9,1238,0,1,4,1,1,4,3,36,0,1,1,4,2,1,1,1
2,18,3,1,1245,1,3,4,3,1,2,2,33,0,1,1,3,1,0,1,2
1,18,0,3,3114,1,2,1,2,1,4,3,26,0,2,1,3,1,0,1,2
4,39,4,4,2569,3,3,4,1,1,4,2,24,0,1,1,3,1,0,1,1
3,24,4,1,5152,1,4,4,1,1,2,2,25,2,1,1,3,1,0,1,1
2,12,4,5,1037,2,4,3,1,1,4,4,39,0,1,1,2,1,0,1,1
1,15,3,3,1478,1,5,4,1,1,4,2,44,0,1,2,3,2,1,1,1
2,12,3,1,3573,1,3,1,2,1,1,4,23,0,1,1,2,1,0,1,1
2,24,4,2,1201,1,2,4,1,1,1,3,26,0,1,1,3,1,0,1,1
1,30,4,3,3622,4,5,4,2,1,4,3,57,0,2,2,3,1,1,1,1
4,15,2,3,960,4,4,3,2,1,2,3,30,0,1,2,3,1,0,1,1
4,12,3,2,1163,3,3,4,1,1,4,4,44,0,1,1,3,1,1,1,1
2,6,2,2,1209,1,1,4,1,1,4,3,47,0,1,1,4,1,1,1,2
4,12,4,1,3077,1,3,2,1,1,4,2,52,0,1,1,3,1,1,1,1
4,24,4,2,3757,1,5,4,2,3,4,0,62,0,0,1,3,1,1,1,1
4,10,4,2,1418,2,3,3,1,1,2,4,35,0,2,1,2,1,0,0,1
4,6,4,2,3518,1,3,2,1,2,3,3,26,0,2,1,3,1,0,1,1
4,12,3,1,1934,1,5,2,1,1,2,0,26,0,1,2,3,1,0,1,1
2,27,0,5,8318,1,5,2,2,1,4,0,42,0,0,2,4,1,1,1,2
4,6,3,1,1237,2,3,1,2,1,1,3,27,0,1,2,3,1,0,1,1
2,6,4,1,368,0,5,4,1,1,4,3,38,0,1,1,3,1,0,1,1
1,12,3,2,2122,1,3,3,1,1,2,4,39,0,2,2,2,2,0,0,1
